State,Abbreviation,Season Type,Zone,Split 1 Open,Split 1 Close,Split 2 Open,Split 2 Close,Split 3 Open,Split 3 Close,Bag Limit,Flyway,Weapon,Notes,Source URL,Verified,Season Year
Delaware,DE,regular,Statewide,2025-09-01,2025-09-30,,,,,5,Atlantic,,"September resident Canada goose season. Extended methods allowed.",https://dnrec.delaware.gov/fish-wildlife/hunting/migratory-birds/,TRUE,2025-2026
Delaware,DE,regular,Statewide,2025-11-01,2026-01-31,,,,,3,Atlantic,,Regular goose season,https://dnrec.delaware.gov/fish-wildlife/hunting/migratory-birds/,FALSE,2025-2026
Florida,FL,regular,Statewide,2025-11-22,2025-11-30,2025-12-06,2026-01-25,,,3,Atlantic,,"Runs concurrent with duck season. Verify bag limit.",https://myfwc.com/hunting/regulations/birds/,FALSE,2025-2026
Georgia,GA,regular,Statewide,2025-09-01,2025-09-30,,,,,5,Atlantic,,Early season resident Canada goose,https://georgiawildlife.com/migratory-bird-hunting-2025-26-season-dates-approved,TRUE,2025-2026
Georgia,GA,regular,Statewide,2025-11-22,2025-11-30,2025-12-06,2026-01-25,,,5,Atlantic,,Regular season Canada geese,https://georgiawildlife.com/migratory-bird-hunting-2025-26-season-dates-approved,FALSE,2025-2026
Idaho,ID,regular,Statewide,2025-10-04,2026-01-16,,,,,5,Pacific,,"Canada geese 5/day. Zone dates vary.",https://idfg.idaho.gov/rules/migratory/2025-ducks,TRUE,2025-2026
Illinois,IL,regular,Statewide,2025-10-18,2026-01-27,,,,,2,Mississippi,,"Zone dates vary. Canada goose limits vary by zone.",https://huntillinois.org/waterfowl,FALSE,2025-2026
Indiana,IN,regular,Statewide,2025-10-18,2026-01-25,,,,,3,Mississippi,,"Zone dates vary. Canada goose.",https://www.in.gov/dnr/fish-and-wildlife/hunting-and-trapping/waterfowl-and-migratory-game-birds/migratory-gamebird-seasons-and-regulations/,FALSE,2025-2026
Iowa,IA,regular,North Zone,2025-09-20,2025-10-05,2025-10-11,2025-12-02,2025-12-13,2026-01-10,5,Mississippi,,"Dark and light geese. 3-split season.",https://www.iowadnr.gov/things-do/hunting-trapping/types-hunting-trapping/migratory-game-bird-hunting,TRUE,2025-2026
Iowa,IA,regular,Central Zone,2025-09-27,2025-10-12,2025-10-18,2025-12-09,2025-12-20,2026-01-17,5,Mississippi,,3-split season,https://www.iowadnr.gov/things-do/hunting-trapping/types-hunting-trapping/migratory-game-bird-hunting,TRUE,2025-2026
Iowa,IA,regular,South Zone,2025-10-04,2025-10-19,2025-10-25,2025-12-16,2025-12-27,2026-01-24,5,Mississippi,,3-split season,https://www.iowadnr.gov/things-do/hunting-trapping/types-hunting-trapping/migratory-game-bird-hunting,TRUE,2025-2026
Kansas,KS,regular,Statewide,2025-10-11,2026-02-15,,,,,5,Central,,"Dark geese. Zone dates vary. Dates approximate.",https://ksoutdoors.gov/Hunting/When-to-Hunt/Migratory-Bird,FALSE,2025-2026
Kansas,KS,light-goose-conservation,Statewide,2026-02-16,2026-04-30,,,,,999,Central,,No bag limit,https://ksoutdoors.gov/Hunting/When-to-Hunt/Migratory-Bird,FALSE,2025-2026
Kentucky,KY,regular,Western Zone,2025-09-01,2025-09-15,,,,,5,Mississippi,,September early Canada goose,https://fw.ky.gov/Hunt/Pages/Waterfowl-Hunting.aspx,TRUE,2025-2026
Kentucky,KY,regular,Eastern Zone,2025-09-16,2025-09-30,,,,,5,Mississippi,,September early Canada goose,https://fw.ky.gov/Hunt/Pages/Waterfowl-Hunting.aspx,TRUE,2025-2026
Kentucky,KY,regular,Statewide,2025-11-27,2026-02-15,,,,,3,Mississippi,,"Canada/cackling/white-fronted/snow/Ross goose",https://fw.ky.gov/Hunt/Pages/Waterfowl-Hunting.aspx,TRUE,2025-2026
Louisiana,LA,regular,West Zone,2025-11-08,2025-11-30,2025-12-13,2026-01-18,,,3,Mississippi,,Runs concurrent with duck,https://www.wlf.louisiana.gov/news/202526-louisiana-duck-season-opens-in-november-ldwf-announces,FALSE,2025-2026
Louisiana,LA,regular,East Zone,2025-11-15,2025-11-30,2025-12-13,2026-01-25,,,3,Mississippi,,Runs concurrent with duck,https://www.wlf.louisiana.gov/news/202526-louisiana-duck-season-opens-in-november-ldwf-announces,FALSE,2025-2026
Maine,ME,regular,Statewide,2025-10-04,2025-12-10,,,,,3,Atlantic,,"Zone dates vary. Verify with MDIFW.",https://www.maine.gov/ifw/hunting-trapping/hunting/laws-rules/migratory-gamebirds.html,FALSE,2025-2026
Maryland,MD,regular,Statewide,2025-09-01,2025-09-25,,,,,15,Atlantic,,"September early Canada goose. Bag limit varies.",https://www.eregulations.com/maryland/hunting/migratory-game-bird-seasons-limits,FALSE,2025-2026
Maryland,MD,regular,Statewide,2025-11-15,2026-02-07,,,,,2,Atlantic,,"Regular season. Zone dates vary.",https://www.eregulations.com/maryland/hunting/migratory-game-bird-seasons-limits,FALSE,2025-2026
Massachusetts,MA,regular,Statewide,2025-10-01,2026-01-15,,,,,3,Atlantic,,,https://www.mass.gov/info-details/migratory-game-bird-hunting-regulations,TRUE,2025-2026
Michigan,MI,regular,Statewide,2025-09-01,2025-09-15,,,,,5,Mississippi,,Early September Canada goose,https://www.michigan.gov/dnr/managing-resources/laws/regulations/waterfowl,FALSE,2025-2026
Michigan,MI,regular,Statewide,2025-10-04,2026-01-25,,,,,5,Mississippi,,"Regular season. Zone dates vary.",https://www.michigan.gov/dnr/managing-resources/laws/regulations/waterfowl,FALSE,2025-2026
Minnesota,MN,regular,Statewide,2025-09-01,2025-09-30,,,,,5,Mississippi,,Early Canada goose,https://www.dnr.state.mn.us/hunting/waterfowl/seasons.html,FALSE,2025-2026
Minnesota,MN,regular,Statewide,2025-09-27,2025-12-07,,,,,3,Mississippi,,"Regular season. Zone dates vary.",https://www.dnr.state.mn.us/hunting/waterfowl/seasons.html,FALSE,2025-2026
Mississippi,MS,regular,Statewide,2025-09-01,2025-09-30,,,,,5,Mississippi,,September resident Canada goose,https://www.mdwfp.com/wildlife-hunting/hunting-seasons-and-bag-limits,TRUE,2025-2026
Mississippi,MS,regular,Statewide,2025-11-14,2025-11-30,2025-12-06,2026-01-31,,,3,Mississippi,,Regular goose season,https://www.mdwfp.com/wildlife-hunting/hunting-seasons-and-bag-limits,TRUE,2025-2026
Missouri,MO,regular,Statewide,2025-09-01,2025-09-15,,,,,5,Mississippi,,Early September Canada goose,https://mdc.mo.gov/hunting-trapping/species/goose/goose-regulations,FALSE,2025-2026
Missouri,MO,regular,Statewide,2025-11-01,2026-02-06,,,,,3,Mississippi,,"Regular season. Zone dates vary.",https://mdc.mo.gov/hunting-trapping/species/goose/goose-regulations,FALSE,2025-2026
Missouri,MO,light-goose-conservation,Statewide,2026-02-07,2026-04-30,,,,,999,Mississippi,,"No bag limit. Electronic calls allowed. Light geese 20/day during regular season.",https://mdc.mo.gov/hunting-trapping/seasons/light-goose-conservation-order,TRUE,2025-2026
Montana,MT,regular,Statewide,2025-10-04,2026-01-16,,,,,5,Central,,"Zone dates vary. Dark geese.",https://fwp.mt.gov/hunt/regulations/migratory-bird,FALSE,2025-2026
Nebraska,NE,regular,Statewide,2025-10-04,2026-01-15,,,,,5,Central,,"Zone dates vary. Dark geese.",https://outdoornebraska.gov/about/press-events/news/commissioners-approve-2025-2026-waterfowl-recommendations/,FALSE,2025-2026
Nebraska,NE,light-goose-conservation,Statewide,2026-02-07,2026-04-15,,,,,999,Central,,No bag limit,https://outdoornebraska.gov/about/press-events/news/commissioners-approve-2025-2026-waterfowl-recommendations/,FALSE,2025-2026
Nevada,NV,regular,Statewide,2025-10-11,2026-01-25,,,,,5,Pacific,,"Zone dates vary. Dark geese.",https://www.eregulations.com/nevada/hunting/small-game/migratory-game-bird-seasons,FALSE,2025-2026
New Hampshire,NH,regular,Statewide,2025-10-02,2026-01-18,,,,,3,Atlantic,,"Zone dates vary similar to duck.",https://nhfishgame.com/2025/05/02/new-hampshires-2025-2026-migratory-waterfowl-hunting-seasons-are-now-set/,FALSE,2025-2026
New Jersey,NJ,regular,Statewide,2025-11-27,2025-11-29,2025-12-23,2026-01-22,,,3,Atlantic,,Canada geese,https://dep.nj.gov/wp-content/uploads/njfw/migratory-bird-seasons-2025-2026.pdf,TRUE,2025-2026
New Mexico,NM,regular,Statewide,2025-11-15,2026-01-31,,,,,5,Central,,"Dark geese. Runs concurrent with duck.",https://www.eregulations.com/newmexico/hunting/hunting-seasons-and-dates,FALSE,2025-2026
New Mexico,NM,light-goose-conservation,Statewide,2026-02-01,2026-03-10,,,,,999,Central,,No bag limit. Electronic calls allowed.,https://www.eregulations.com/newmexico/hunting/hunting-seasons-and-dates,FALSE,2025-2026
New York,NY,regular,Statewide,2025-09-01,2025-09-25,,,,,8,Atlantic,,"Early season resident Canada goose. Zone dates and limits vary.",https://dec.ny.gov/things-to-do/hunting/migratory-game-bird/seasons,FALSE,2025-2026
New York,NY,regular,Statewide,2025-10-11,2026-01-20,,,,,3,Atlantic,,"Regular season. Zone dates vary. Verify with DEC.",https://dec.ny.gov/things-to-do/hunting/migratory-game-bird/seasons,FALSE,2025-2026
North Carolina,NC,regular,Statewide,2025-09-01,2025-09-30,,,,,5,Atlantic,,Early September Canada goose,https://www.ncwildlife.gov/news/press-releases/2025/04/24/state-wildlife-agency-announces-2025-2026-north-carolina-migratory-game-bird-seasons,FALSE,2025-2026
North Carolina,NC,regular,Statewide,2025-11-08,2026-01-31,,,,,3,Atlantic,,"Regular season. Verify zone-specific dates.",https://www.ncwildlife.gov/news/press-releases/2025/04/24/state-wildlife-agency-announces-2025-2026-north-carolina-migratory-game-bird-seasons,FALSE,2025-2026
North Dakota,ND,regular,Statewide,2025-09-27,2025-12-07,,,,,5,Central,,"Canada geese. Resident opener Sep 27. Nonresident Oct 4.",https://gf.nd.gov/hunting/season-dates,TRUE,2025-2026
North Dakota,ND,light-goose-conservation,Statewide,2026-02-07,2026-05-15,,,,,999,Central,,No bag limit,https://gf.nd.gov/hunting/season-dates,FALSE,2025-2026
Ohio,OH,regular,Statewide,2025-09-01,2025-09-15,,,,,5,Mississippi,,"Early September Canada goose. Zone dates vary.",https://www.eregulations.com/ohio/hunting/hunting-seasons-and-dates,FALSE,2025-2026
Ohio,OH,regular,Statewide,2025-10-18,2026-01-31,,,,,3,Mississippi,,"Regular season. Zone dates vary.",https://www.eregulations.com/ohio/hunting/hunting-seasons-and-dates,FALSE,2025-2026
Oklahoma,OK,regular,Statewide,2025-11-08,2026-02-15,,,,,5,Central,,"Dark geese. Zone dates vary.",https://www.wildlifedepartment.com/hunting/regs/ducks-mergansers-coots,FALSE,2025-2026
Oklahoma,OK,light-goose-conservation,Statewide,2026-02-16,2026-03-31,,,,,999,Central,,No bag limit,https://www.wildlifedepartment.com/hunting/regs/ducks-mergansers-coots,FALSE,2025-2026
Oregon,OR,regular,Statewide,2025-10-11,2026-01-25,,,,,5,Pacific,,"Zone dates vary. Dark geese.",https://www.eregulations.com/oregon/hunting/game-bird/migratory-game-bird-seasons,FALSE,2025-2026
Pennsylvania,PA,regular,Statewide,2025-09-01,2025-09-25,,,,,8,Atlantic,,Early September Canada goose,https://www.pa.gov/agencies/pgc/huntingandtrapping/regulations/seasons-and-bag-limits,FALSE,2025-2026
Pennsylvania,PA,regular,Statewide,2025-10-11,2026-01-19,,,,,3,Atlantic,,"Regular season. Zone dates vary.",https://www.pa.gov/agencies/pgc/huntingandtrapping/regulations/seasons-and-bag-limits,FALSE,2025-2026
Rhode Island,RI,regular,Statewide,2025-09-01,2025-09-25,,,,,5,Atlantic,,Early September Canada goose,https://www.eregulations.com/rhodeisland/hunting/waterfowl-seasons-bind-in,FALSE,2025-2026
Rhode Island,RI,regular,Statewide,2025-10-25,2026-01-31,,,,,3,Atlantic,,Regular season,https://www.eregulations.com/rhodeisland/hunting/waterfowl-seasons-bind-in,FALSE,2025-2026
South Carolina,SC,regular,Statewide,2025-09-01,2025-09-30,,,,,5,Atlantic,,Early September Canada goose,https://www.dnr.sc.gov/hunting/SCMigratoryBirdSeasons.pdf,FALSE,2025-2026
South Carolina,SC,regular,Statewide,2025-11-22,2026-01-31,,,,,3,Atlantic,,Regular season. Runs concurrent with duck.,https://www.dnr.sc.gov/hunting/SCMigratoryBirdSeasons.pdf,FALSE,2025-2026
South Dakota,SD,regular,Statewide,2025-09-27,2026-01-09,,,,,5,Central,,"Canada geese. Zone dates vary.",https://gfp.sd.gov/events/keydates/,FALSE,2025-2026
South Dakota,SD,light-goose-conservation,Statewide,2026-02-07,2026-04-15,,,,,999,Central,,No bag limit,https://gfp.sd.gov/events/keydates/,FALSE,2025-2026
Tennessee,TN,regular,Statewide,2025-09-01,2025-09-30,,,,,5,Mississippi,,Early September Canada goose,https://www.tn.gov/twra/hunting/migratory-birds.html,FALSE,2025-2026
Tennessee,TN,regular,Statewide,2025-12-05,2026-01-31,,,,,3,Mississippi,,Regular season. Runs concurrent with duck.,https://www.tn.gov/twra/hunting/migratory-birds.html,FALSE,2025-2026
Texas,TX,regular,Eastern Zone,2025-11-01,2026-02-15,,,,,5,Central,,Dark geese,https://tpwd.texas.gov/regulations/outdoor-annual/regs/animals/goose,TRUE,2025-2026
Texas,TX,regular,Western Zone,2025-11-01,2026-02-01,,,,,5,Central,,Dark geese,https://tpwd.texas.gov/regulations/outdoor-annual/regs/animals/goose,TRUE,2025-2026
Texas,TX,light-goose-conservation,Statewide,2026-02-01,2026-03-30,,,,,999,Central,,No bag limit. Electronic calls and unplugged shotguns allowed.,https://tpwd.texas.gov/regulations/outdoor-annual/regs/animals/goose,TRUE,2025-2026
Utah,UT,regular,Northern Zone,2025-10-15,2025-12-22,2026-02-02,2026-03-10,,,5,Pacific,,"Canada geese. Zone dates vary.",https://wildlife.utah.gov/news/utah-wildlife-news/2196-what-hunters-should-know-about-the-2025-utah-waterfowl-hunting-season.html,TRUE,2025-2026
Utah,UT,regular,Southern Zone,2025-10-25,2025-12-15,2026-01-15,2026-03-10,,,5,Pacific,,Canada geese,https://wildlife.utah.gov/news/utah-wildlife-news/2196-what-hunters-should-know-about-the-2025-utah-waterfowl-hunting-season.html,TRUE,2025-2026
Vermont,VT,regular,Statewide,2025-09-01,2025-09-25,,,,,8,Atlantic,,"September resident Canada goose. Lake Champlain Zone 8/day rest of state 5/day.",https://www.vtfishandwildlife.com/press-releases/vermonts-migratory-game-bird-seasons-are-announced-1,TRUE,2025-2026
Vermont,VT,regular,Statewide,2025-10-11,2025-11-09,,,,,1,Atlantic,,"Regular season. Lake Champlain and Interior zones. 1 Canada goose/day.",https://www.vtfishandwildlife.com/press-releases/vermonts-migratory-game-bird-seasons-are-announced-1,TRUE,2025-2026
Virginia,VA,regular,Statewide,2025-09-01,2025-09-25,,,,,5,Atlantic,,September early Canada goose,https://dwr.virginia.gov/hunting/regulations/migratory-gamebirds/,FALSE,2025-2026
Virginia,VA,regular,Statewide,2025-11-15,2026-02-07,,,,,3,Atlantic,,"Regular season. Zone dates vary.",https://dwr.virginia.gov/hunting/regulations/migratory-gamebirds/,FALSE,2025-2026
Virginia,VA,light-goose-conservation,Statewide,2026-02-01,2026-04-05,,,,,999,Atlantic,,No bag limit. Electronic calls allowed.,https://dwr.virginia.gov/hunting/regulations/light-goose-conservation-order/,TRUE,2025-2026
Washington,WA,regular,Statewide,2025-10-11,2026-01-25,,,,,4,Pacific,,"Canada geese. Zone dates vary.",https://wdfw.wa.gov/publications/02626,FALSE,2025-2026
West Virginia,WV,regular,Statewide,2025-09-01,2025-09-25,,,,,5,Atlantic,,September early Canada goose,https://wvdnr.gov/wvdnr-announces-migratory-game-bird-seasons-and-regulation-changes/,FALSE,2025-2026
West Virginia,WV,regular,Statewide,2025-10-04,2026-01-31,,,,,3,Atlantic,,"Regular season. Runs with duck splits.",https://wvdnr.gov/wvdnr-announces-migratory-game-bird-seasons-and-regulation-changes/,FALSE,2025-2026
Wisconsin,WI,regular,Statewide,2025-09-01,2025-09-15,,,,,5,Mississippi,,Early September Canada goose,https://dnr.wisconsin.gov/newsroom/release/114011,FALSE,2025-2026
Wisconsin,WI,regular,Statewide,2025-09-27,2025-12-16,,,,,3,Mississippi,,"Regular season. Zone dates vary.",https://dnr.wisconsin.gov/newsroom/release/114011,FALSE,2025-2026
Wyoming,WY,regular,Statewide,2025-10-01,2026-02-16,,,,,5,Central,,"Zone dates vary significantly. Some zones extend to Feb 16.",https://wgfd.wyo.gov/Regulations/Game-Birds-Waterfowl/Late-Migratory-Game-Bird-Hunting-Seasons,FALSE,2025-2026
